Prompt ID,Prompt,Source URL,Citation Text,Detected Brands
1,what are the top car brands in the world,https://www.enterprise.ch/en/blog-enterprise/top-10-most-famous-car-brands-worldwide,,"Golf, EV, VW, Known, China, Mercedes-Benz, Additionally, Tesla, Leading, Volkswagen, Despite, Polo, BYD, Toyota, Europe, Hyundai, Kia, Synonymous"
1,what are the top car brands in the world,https://companiesmarketcap.com/automakers/largest-automakers-by-market-cap/,,"Golf, EV, VW, Known, China, Mercedes-Benz, Additionally, Tesla, Leading, Volkswagen, Despite, Polo, BYD, Toyota, Europe, Hyundai, Kia, Synonymous"
1,what are the top car brands in the world,https://www.focus2move.com/world-cars-brand-ranking/,,"Golf, EV, VW, Known, China, Mercedes-Benz, Additionally, Tesla, Leading, Volkswagen, Despite, Polo, BYD, Toyota, Europe, Hyundai, Kia, Synonymous"
1,what are the top car brands in the world,https://brandirectory.com/reports/automotive-industry,,"Golf, EV, VW, Known, China, Mercedes-Benz, Additionally, Tesla, Leading, Volkswagen, Despite, Polo, BYD, Toyota, Europe, Hyundai, Kia, Synonymous"
1,what are the top car brands in the world,https://roadgenius.com/cars/statistics/sales-by-manufacturer/,,"Golf, EV, VW, Known, China, Mercedes-Benz, Additionally, Tesla, Leading, Volkswagen, Despite, Polo, BYD, Toyota, Europe, Hyundai, Kia, Synonymous"
1,what are the top car brands in the world,,n.a,"Golf, EV, VW, Known, China, Mercedes-Benz, Additionally, Tesla, Leading, Volkswagen, Despite, Polo, BYD, Toyota, Europe, Hyundai, Kia, Synonymous"
1,what are the top car brands in the world,,n.a,"Golf, EV, VW, Known, China, Mercedes-Benz, Additionally, Tesla, Leading, Volkswagen, Despite, Polo, BYD, Toyota, Europe, Hyundai, Kia, Synonymous"
1,what are the top car brands in the world,,n.a,"Golf, EV, VW, Known, China, Mercedes-Benz, Additionally, Tesla, Leading, Volkswagen, Despite, Polo, BYD, Toyota, Europe, Hyundai, Kia, Synonymous"
1,what are the top car brands in the world,,n.a,"Golf, EV, VW, Known, China, Mercedes-Benz, Additionally, Tesla, Leading, Volkswagen, Despite, Polo, BYD, Toyota, Europe, Hyundai, Kia, Synonymous"
1,what are the top car brands in the world,,n.a,"Golf, EV, VW, Known, China, Mercedes-Benz, Additionally, Tesla, Leading, Volkswagen, Despite, Polo, BYD, Toyota, Europe, Hyundai, Kia, Synonymous"
