prompt_id,prompt,source,url,domain,type,citation_text
1,what are the top car brands in the world,companiesmarketcap.com,https://companiesmarketcap.com/automakers/largest-automakers-by-market-cap/,companiesmarketcap.com,perplexity_citation,
1,what are the top car brands in the world,brandirectory.com,https://brandirectory.com/reports/automotive-industry,brandirectory.com,perplexity_citation,
1,what are the top car brands in the world,www.focus2move.com,https://www.focus2move.com/world-car-group-ranking/,www.focus2move.com,perplexity_citation,
1,what are the top car brands in the world,www.consumerreports.org,https://www.consumerreports.org/cars/cars-driving/which-car-brands-make-the-best-vehicles-a6159221985/,www.consumerreports.org,perplexity_citation,
1,what are the top car brands in the world,roadgenius.com,https://roadgenius.com/cars/statistics/sales-by-manufacturer/,roadgenius.com,perplexity_citation,
2,which car brands are the most reliable,www.consumerreports.org,https://www.consumerreports.org/cars/car-reliability-owner-satisfaction/who-makes-the-most-reliable-cars-a7824554938/,www.consumerreports.org,perplexity_citation,
2,which car brands are the most reliable,www.consumerreports.org,https://www.consumerreports.org/cars/used-car-brand-reliability-a2811658468/,www.consumerreports.org,perplexity_citation,
2,which car brands are the most reliable,www.visualcapitalist.com,https://www.visualcapitalist.com/the-most-reliable-used-car-brands-in-2025/,www.visualcapitalist.com,perplexity_citation,
2,which car brands are the most reliable,www.jdpower.com,https://www.jdpower.com/business/press-releases/2024-us-vehicle-dependability-study-vds,www.jdpower.com,perplexity_citation,
2,which car brands are the most reliable,www.youtube.com,https://www.youtube.com/watch?v=p8Ti9WZ-_AY,www.youtube.com,perplexity_citation,
3,what are the best luxury car brands,www.caranddriver.com,https://www.caranddriver.com/rankings/best-sedans/luxury/full-size,www.caranddriver.com,perplexity_citation,
3,what are the best luxury car brands,www.edmunds.com,https://www.edmunds.com/car-buying/luxury-car-brands.html,www.edmunds.com,perplexity_citation,
3,what are the best luxury car brands,www.whatcar.com,https://www.whatcar.com/best/luxury-cars/n17020,www.whatcar.com,perplexity_citation,
3,what are the best luxury car brands,clementpreowned.com,https://clementpreowned.com/blog/best-luxury-car-brands,clementpreowned.com,perplexity_citation,
3,what are the best luxury car brands,www.youtube.com,https://www.youtube.com/watch?v=UnOFed95WSA,www.youtube.com,perplexity_citation,
4,which car brands are known for safety,www.iihs.org,https://www.iihs.org/ratings/top-safety-picks,www.iihs.org,perplexity_citation,
4,which car brands are known for safety,glassdoctor.com,https://glassdoctor.com/blog/safest-car-brands-state,glassdoctor.com,perplexity_citation,
4,which car brands are known for safety,www.caranddriver.com,https://www.caranddriver.com/rankings/safest-cars,www.caranddriver.com,perplexity_citation,
4,which car brands are known for safety,www.kbb.com,https://www.kbb.com/best-cars/safest-new-vehicles/,www.kbb.com,perplexity_citation,
4,which car brands are known for safety,www.volvocarsarrowhead.com,https://www.volvocarsarrowhead.com/why-volvo-is-the-safest-car-brand.htm,www.volvocarsarrowhead.com,perplexity_citation,
5,what are the most affordable car brands,www.kbb.com,https://www.kbb.com/best-cars/cheapest-new-cars/,www.kbb.com,perplexity_citation,
5,what are the most affordable car brands,www.cars.com,https://www.cars.com/articles/here-are-the-10-cheapest-new-cars-you-can-buy-right-now-421309/,www.cars.com,perplexity_citation,
5,what are the most affordable car brands,www.caranddriver.com,https://www.caranddriver.com/rankings/best-sedans/cheapest,www.caranddriver.com,perplexity_citation,
5,what are the most affordable car brands,www.visualcapitalist.com,https://www.visualcapitalist.com/ranked-the-cheapest-car-brands-to-own-and-maintain-in-the-u-s/,www.visualcapitalist.com,perplexity_citation,
5,what are the most affordable car brands,auto.alot.com,https://auto.alot.com/buyers-guide/the-cheapest-car-from-every-car-brand--20466,auto.alot.com,perplexity_citation,
6,which car brands have the best resale value,caredge.com,https://caredge.com/ranks/depreciation,caredge.com,perplexity_citation,
6,which car brands have the best resale value,www.kbb.com,https://www.kbb.com/awards/best-resale-value-cars-trucks-suvs/,www.kbb.com,perplexity_citation,
6,which car brands have the best resale value,carconfections.com,https://carconfections.com/resale/,carconfections.com,perplexity_citation,
6,which car brands have the best resale value,www.youtube.com,https://www.youtube.com/watch?v=2853qWh7mFU,www.youtube.com,perplexity_citation,
6,which car brands have the best resale value,www.autonationusa.com,https://www.autonationusa.com/research/top-10-used-luxury-cars-with-best-resale-value.htm,www.autonationusa.com,perplexity_citation,
